agent_id,name,phone,city,vehicle_type,status,total_deliveries,last_updated
A001,Senthil Kumar,9841201001,Chennai,Bike,Active,1240,2024-01-01
A002,Murugesan P,9841202002,Chennai,Bike,Active,980,2024-01-01
A003,Ramesh Babu,9841203003,Chennai,Scooter,Active,1560,2024-01-01
A004,Kalaiyarasan,9841204004,Chennai,Bike,Active,720,2024-01-01
A005,Dinesh Kumar,9841205005,Chennai,Bike,Active,890,2024-01-01
A006,Praveen S,9841206006,Chennai,Scooter,Active,1100,2024-01-01
A007,Ashwin Raj,9841207007,Chennai,Bike,Active,540,2024-01-01
A008,Vinoth Kumar,9841208008,Chennai,Bike,Active,760,2024-01-01
A009,Suresh S,9841209009,Bangalore,Bike,Active,420,2024-01-01
A010,Bala Krishnan,9841210010,Chennai,Scooter,Active,1020,2024-01-01
A011,Tamil Selvan,9841211011,Chennai,Bike,Active,310,2024-01-01
A012,Gopal R,9841212012,Coimbatore,Bike,Active,680,2024-01-01
